Mayans, 90.0
Magyars, 81.81818181818183
Turks, 72.22222222222221
Italians, 71.42857142857143
Ethiopians, 71.42857142857143
Incas, 70.0
Celts, 69.23076923076923
Mongols, 65.21739130434783
Spanish, 61.904761904761905
Chinese, 60.0
Huns, 57.14285714285714
Khmer, 53.333333333333336
Lithuanians, 53.333333333333336
Britons, 53.125
Franks, 51.85185185185185
Malians, 50.0
Vikings, 50.0
Byzantines, 50.0
Goths, 42.42424242424242
Burmese, 41.66666666666667
Saracens, 38.46153846153847
Cumans, 38.095238095238095
Indians, 37.5
Persians, 35.294117647058826
Aztecs, 34.48275862068966
Vietnamese, 30.0
Teutons, 29.411764705882355
Tatars, 28.57142857142857
Slavs, 28.57142857142857
Koreans, 25.0
Bulgarians, 22.22222222222222
Malay, 18.181818181818183
Portuguese, 11.11111111111111
Berbers, 0.0
Japanese, 0.0
